구분,학교급,설립,교육지원청,학교명(유치원),엑셀,"중점학교
(유치원)",특별학급,연구학교,비고
1,유,공립(병설),남부,"서울대동초등학교
병설유치원",,○,,,
2,유,공립(병설),남부,"서울영림초등학교
병설유치원",,○,,,
3,유,사립,동부,사랑유치원,,○,,,
4,유,사립,남부,서울남유치원,,○,,,신규
5,유,사립,중부,한일유치원,,○,,,
6,유,사립,동작관악,양문유치원,,○,,,
7,유,사립,성북강북,동선유치원,,○,,,
8,유,사립,성북강북,세아유치원,,○,,,
9,초,공립,남부,서울도신초등학교,,○,,,
10,초,공립,성동광진,서울동의초등학교,,○,,,
11,초,공립,강서양천,서울등원초등학교,,○,,,
12,초,공립,남부,서울영림초등학교,,○,,,
13,초,공립,동작관악,서울조원초등학교,,○,,,
14,중,사립,서부,선정중학교,,○,,,
15,중,사립,중부,오산중학교,,○,,,
16,고,사립,서부,선정고등학교,,○,,,
17,고,사립,동작관악,미림여자고등학교,,○,,,신규
18,초,공립,중부,서울광희초등학교,,○,○,,2학급
19,초,공립,남부,서울구로남초등학교,,○,○,○,
20,초,공립,남부,서울구로초등학교,,○,○,,
21,초,공립,남부,서울대동초등학교,,○,○,○,2학급
22,초,공립,남부,서울동구로초등학교,,○,○,,
23,초,공립,남부,서울문성초등학교,,○,○,,
24,초,공립,동작관악,서울문창초등학교,,○,○,,
25,초,공립,중부,서울보광초등학교,,○,○,,
26,초,공립,성동광진,서울성수초등학교,,○,○,,신규
27,초,공립,남부,서울신대림초등학교,,○,○,,
28,초,공립,남부,서울신영초등학교,,○,○,,
29,초,공립,남부,서울영일초등학교,,○,○,,
30,초,공립,중부,서울용암초등학교,,○,○,,
31,초,공립,중부,서울충무초등학교,,○,○,,
32,초,공립,동부,서울홍파초등학교,,○,○,,
33,초,사립,남부,지구촌학교,,○,○,,
34,중,공립,남부,구로중학교,,○,○,,
35,중,공립,남부,대림중학교,,○,○,,
36,고,공립,본청,서울다솜관광고등학교,,○,○,,
37,기타,대안,남부,움틈학교(구로다가센터),,○,○,,신규
38,기타,대안,강남서초,다애다문화학교,,○,○,,
39,초,공립,성동광진,서울용마초등학교,,,,○,문체부
,,,,,,,,,
,,,,,,,,,
