,연번,급,관할청,설립,학교명,다문화,"다문화교육 유치원, 중점학교",행정구
0,1.0,유,동부,사립,사랑유치원,,○,동대문구
1,2.0,유,남부,공립,서울구로남초병설유치원,,○,구로구
2,3.0,유,남부,공립,서울대동초병설유치원,,○,영등포구
3,4.0,유,남부,공립,서울영림초병설유치원,,○,영등포구
4,5.0,유,남부,사립,서울남유치원,,○,구로구
5,6.0,유,중부,사립,한일유치원,,○,광진구
6,7.0,유,동작관악,사립,양문유치원,,○,동작구
7,8.0,유,성북강북,사립,동선유치원,,○,성북구
8,9.0,유,성북강북,사립,세아유치원,,○,성북구
9,10.0,초,동부,공립,서울면동초등학교,,○,중랑구
10,11.0,초,동부,공립,서울홍파초등학교,○,○,동대문구
11,12.0,초,남부,공립,서울구로남초등학교,○,○,구로구
12,13.0,초,남부,공립,서울구로초등학교,○,○,구로구
13,14.0,초,남부,공립,서울대동초등학교,○,○,영등포구
14,15.0,초,남부,공립,서울도신초등학교,○,○,영등포구
15,16.0,초,남부,공립,서울동구로초등학교,○,○,구로구
16,17.0,초,남부,공립,서울문성초등학교,○,○,금천구
17,18.0,초,남부,공립,서울신대림초등학교,○,○,영등포구
18,19.0,초,남부,공립,서울신영초등학교,○,○,영등포구
19,20.0,초,남부,공립,서울영림초등학교,,○,영등포구
20,21.0,초,남부,공립,서울영일초등학교,○,○,구로구
21,22.0,초,남부,공립,서울오정초등학교,,○,구로구
22,23.0,초,남부,사립,지구촌학교,○,○,구로구
23,24.0,초,중부,공립,서울광희초등학교,○,○,중구
24,25.0,초,중부,공립,서울보광초등학교,○,○,용산구
25,26.0,초,중부,공립,서울용암초등학교,○,○,용산구
26,27.0,초,중부,공립,서울이태원초등학교,○,○,용산구
27,28.0,초,중부,공립,서울충무초등학교,○,○,중구
28,29.0,초,강서양천,공립,서울방화초등학교,,○,강서구
29,30.0,초,동작관악,공립,서울문창초등학교,○,○,동작구
30,31.0,초,동작관악,공립,서울조원초등학교,,○,관악구
31,32.0,초,성동광진,공립,서울동명초등학교,○,○,성동구
32,33.0,초,성동광진,공립,서울동의초등학교,,○,광진구
33,34.0,초,성동광진,공립,서울성수초등학교,○,○,성동구
34,35.0,중,서부,사립,선정중학교,,○,은평구
35,36.0,중,남부,공립,구로중학교,○,○,구로구
36,37.0,중,남부,공립,대림중학교,○,○,영등포구
37,38.0,중,남부,공립,영남중학교,,○,영등포구
38,39.0,중,남부,공립,오남중학교,,○,구로구
39,40.0,중,남부,대안,움틈학교,○,,구로구
40,41.0,중,중부,사립,오산중학교,,○,용산구
41,42.0,중,강남서초,대안,다애다문화학교,○,○,강남구
42,43.0,중,성북강북,공립,인수중학교,,○,강북구
43,44.0,고,본청,공립각종,서울다솜관광고등학교,○,○,종로구
44,45.0,고,본청(서부),사립,선정고등학교,,○,은평구
