연번,급,설립,소속청,기관명,다문화교육연구학교,다문화교육유치원,다문화교육중점학교,다문화특별학급
1,초,공립,동부,서울면동초등학교,,,O,
2,초,공립,동부,서울홍파초등학교,,,O,1
3,초,공립,남부,서울구로남초등학교,O (1/2),,O,1
4,초,공립,남부,서울구로초등학교,O (2/2),,O,1
5,초,공립,남부,서울대동초등학교,,,O,2
6,초,공립,남부,서울도신초등학교,,,O,1
7,초,공립,남부,서울동구로초등학교,,,O,1
8,초,공립,남부,서울문성초등학교,,,O,1
9,초,공립,남부,서울신대림초등학교,,,O,1
10,초,공립,남부,서울신영초등학교,,,O,1
11,초,공립,남부,서울영림초등학교,,,O,1
12,초,공립,남부,서울영일초등학교,,,O,1
13,초,공립,남부,서울정심초등학교,,,O,
14,초,공립,중부,서울광희초등학교,,,O,1
15,초,공립,중부,서울보광초등학교,,,O,1
16,초,공립,중부,서울용암초등학교,,,O,1
17,초,공립,중부,서울이태원초등학교,,,O,1
18,초,공립,중부,서울충무초등학교,,,O,1
19,초,공립,중부,서울창신초등학교,O (1/2),,,
20,초,국립,강서양천,서울방화초등학교,,,O,
21,초,공립,강남서초,서울교육대학교부설초등학교,,,O,
22,초,공립,동작관악,서울문창초등학교,,,O,1
23,초,공립,성동광진,서울동명초등학교,,,O,1
24,초,공립,성동광진,서울성수초등학교,,,O,1
25,초,공립,성동광진,서울용마초등학교,,,O,
26,중,사립,서부,선정중학교,,,O,
27,중,사립,중부,오산중학교,,,O,
28,중,공립,남부,구로중학교,,,O,1
29,중,공립,남부,대림중학교,,,O,1
30,중,공립,성북강북,인수중학교,,,O,
31,고,사립,본청(서부),선정고등학교,,,O,
32,고,사립,본청(성동광진),댜원여자고등학교,,,O,
33,각종,사립,남부,지구촌학교(초),,,O,1
34,각종,공립,본청,서울다솜관광고등학교,,,O,1
35,유,사립,동부,사랑유치원,,O,,
36,유,사립,동부,세하유치원,,O,,
37,유,사립,서부,은평국제유치원,,O,,
38,유,공립,남부,서울구로남초등학교병설유치원,,O,,
39,유,사립,남부,서울남유치원,,O,,
40,유,공립,남부,서울대동초등학교병설유치원,,O,,
41,유,공립,남부,서울영림초등학교병설유치원,,O,,
42,유,사립,중부,신일유치원,,O,,
43,유,사립,중부,봄샘유치원,,O,,
44,유,사립,중부,한일유치원,,O,,
45,유,사립,동작관악,꿈나라유치원,,O,,
46,유,사립,성북강북,동선유치원,,O,,
47,유,사립,성북강북,새삼선유치원,,O,,
48,유,사립,성북강북,세아유치원,,O,,
