"자치구별(1)",자치구별(2),2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021
"자치구별(1)",자치구별(2),총계,총계,총계,총계,총계,총계,총계,총계,총계,총계,총계,총계,총계,총계,총계,총계,총계,총계,총계,총계,총계,총계,총계,총계,총계,총계,총계,총계,총계,총계,총계,총계,총계,총계,총계,총계,총계,총계,총계,총계,총계,총계,총계,총계,총계,총계,총계,총계,총계,총계,총계,총계,총계,총계,총계,총계,총계,총계,총계,총계
"자치구별(1)",자치구별(2),소계,소계,소계,아파트,아파트,아파트,주상복합,주상복합,주상복합,연립,연립,연립,다세대,다세대,다세대,소계,소계,소계,아파트,아파트,아파트,주상복합,주상복합,주상복합,연립,연립,연립,다세대,다세대,다세대,소계,소계,소계,아파트,아파트,아파트,주상복합,주상복합,주상복합,연립,연립,연립,다세대,다세대,다세대,소계,소계,소계,아파트,아파트,아파트,주상복합,주상복합,주상복합,연립,연립,연립,다세대,다세대,다세대
"자치구별(1)",자치구별(2),단지 (개소),동 (동수),세대 (세대수),단지 (개소),동 (동수),세대 (세대수),단지 (개소),동 (동수),세대 (세대수),단지 (개소),동 (동수),세대 (세대수),단지 (개소),동 (동수),세대 (세대수),단지 (개소),동 (동수),세대 (세대수),단지 (개소),동 (동수),세대 (세대수),단지 (개소),동 (동수),세대 (세대수),단지 (개소),동 (동수),세대 (세대수),단지 (개소),동 (동수),세대 (세대수),단지 (개소),동 (동수),세대 (세대수),단지 (개소),동 (동수),세대 (세대수),단지 (개소),동 (동수),세대 (세대수),단지 (개소),동 (동수),세대 (세대수),단지 (개소),동 (동수),세대 (세대수),단지 (개소),동 (동수),세대 (세대수),단지 (개소),동 (동수),세대 (세대수),단지 (개소),동 (동수),세대 (세대수),단지 (개소),동 (동수),세대 (세대수),단지 (개소),동 (동수),세대 (세대수)
"합계",소계,4139,19581,1471065,3368,17572,1373450,414,607,72596,343,1363,24259,14,39,760,4177,20080,1529618,3454,18077,1435821,349,538,68359,350,1369,24084,24,96,1354,4134,20179,1544424,3431,18192,1449248,348,560,70220,333,1338,23650,22,89,1306,4479,21692,1716597,3742,19637,1614198,379,613,77053,337,1354,24088,21,88,1258
"합계",종로구,60,265,12621,29,126,9364,8,10,1302,23,129,1955,-,-,-,66,281,13933,33,138,10625,8,10,1302,25,133,2006,-,-,-,63,276,13862,32,137,10605,8,10,1302,23,129,1955,-,-,-,66,292,14153,33,146,10734,9,11,1392,24,135,2027,0,0,0
"합계",중구,51,200,17528,34,169,12642,17,31,4886,-,-,-,-,-,-,52,203,17705,35,172,12819,17,31,4886,-,-,-,-,-,-,52,203,17704,35,172,12818,17,31,4886,-,-,-,-,-,-,59,224,21729,41,192,16686,18,32,5043,0,0,0,0,0,0
"합계",용산구,116,466,32041,89,410,24710,27,56,7331,-,-,-,-,-,-,129,499,33587,102,454,27455,27,45,6132,-,-,-,-,-,-,120,490,33374,93,445,27242,27,45,6132,-,-,-,-,-,-,125,519,36470,96,468,29126,29,51,7344,0,0,0,0,0,0
"합계",성동구,128,746,57292,113,708,55615,3,8,1067,12,30,610,-,-,-,129,747,57310,113,708,55615,3,8,1067,13,31,628,-,-,-,128,746,57292,113,708,55615,3,8,1067,12,30,610,-,-,-,143,782,62937,124,738,60442,7,14,1885,12,30,610,0,0,0
"합계",광진구,120,377,30030,84,296,25065,24,33,4179,12,48,786,-,-,-,120,377,30030,84,296,25065,24,33,4179,12,48,786,-,-,-,120,377,30030,84,296,25065,24,33,4179,12,48,786,-,-,-,124,391,32251,86,304,25805,26,39,5660,12,48,786,0,0,0
"합계",동대문구,144,717,55900,110,654,53898,18,18,1354,16,45,648,-,-,-,150,738,58086,114,673,55655,20,20,1783,16,45,648,-,-,-,148,736,58031,112,671,55600,20,20,1783,16,45,648,-,-,-,170,786,64609,129,714,61387,25,27,2574,16,45,648,0,0,0
