"동별","주택종류별","항목","단위","2018 년","2019 년","2020 년","2021 년","2022 년",
"서울시","종류별 주택수","주택종류별 주택 (동별)","","2894078","2953964","3015371","3068494","3111323",
"서울시","단독주택","주택종류별 주택 (동별)","","322453","315566","307075","299473","293489",
"서울시","일반단독주택","주택종류별 주택 (동별)","","73510","68114","64911","62648","60861",
"서울시","다가구주택","주택종류별 주택 (동별)","","197156","195448","190399","185338","181399",
"서울시","영업겸용주택","주택종류별 주택 (동별)","","51787","52004","51765","51487","51229",
"서울시","아파트","주택종류별 주택 (동별)","","1679639","1720691","1772670","1818214","1851242",
"서울시","연립주택","주택종류별 주택 (동별)","","112372","110968","110562","110239","110418",
"서울시","다세대주택","주택종류별 주택 (동별)","","749971","777205","796066","812403","828773",
"서울시","비거주용건물내주택","주택종류별 주택 (동별)","","29643","29534","28998","28165","27401",
"종로구","종류별 주택수","주택종류별 주택 (동별)","","45729","46440","46859","46885","46810",
"종로구","단독주택","주택종류별 주택 (동별)","","12699","12421","12259","11987","11823",
"종로구","일반단독주택","주택종류별 주택 (동별)","","7071","6740","6572","6367","6259",
"종로구","다가구주택","주택종류별 주택 (동별)","","3994","4053","4070","4013","3959",
"종로구","영업겸용주택","주택종류별 주택 (동별)","","1634","1628","1617","1607","1605",
"종로구","아파트","주택종류별 주택 (동별)","","14530","15290","15688","15775","15923",
"종로구","연립주택","주택종류별 주택 (동별)","","5428","5459","5460","5490","5532",
"종로구","다세대주택","주택종류별 주택 (동별)","","12140","12349","12540","12725","12651",
"종로구","비거주용건물내주택","주택종류별 주택 (동별)","","932","921","912","908","881",
"중구","종류별 주택수","주택종류별 주택 (동별)","","40177","41754","42234","42319","42401",
"중구","단독주택","주택종류별 주택 (동별)","","6209","6035","5967","5865","5751",
"중구","일반단독주택","주택종류별 주택 (동별)","","2513","2323","2266","2218","2166",
"중구","다가구주택","주택종류별 주택 (동별)","","2425","2461","2436","2388","2346",
"중구","영업겸용주택","주택종류별 주택 (동별)","","1271","1251","1265","1259","1239",
"중구","아파트","주택종류별 주택 (동별)","","24417","25823","26102","26327","26366",
