"동별(1)","동별(2)",항목,2023 2/4,2023 2/4,2023 2/4,2023 2/4,2023 2/4,2023 2/4,2023 2/4,2023 2/4,2023 2/4,2023 2/4,2023 2/4,2023 2/4,2023 2/4,2023 2/4,2023 2/4,2023 2/4,2023 2/4,2023 2/4,2023 2/4,2023 2/4,2023 2/4,2023 2/4
"동별(1)","동별(2)",항목,합계,0~4세,5~9세,10~14세,15~19세,20~24세,25~29세,30~34세,35~39세,40~44세,45~49세,50~54세,55~59세,60~64세,65~69세,70~74세,75~79세,80~84세,85~89세,90~94세,95~99세,100세 이상
"종로구","사직동",계,9362,181,319,330,345,426,674,789,697,724,756,850,693,724,555,364,337,310,195,72,17,4
"종로구","사직동",한국인,9089,174,315,323,341,420,656,766,662,685,718,825,675,699,540,360,336,308,194,71,17,4
"종로구","사직동",외국인,273,7,4,7,4,6,18,23,35,39,38,25,18,25,15,4,1,2,1,1,-,-
"종로구","삼청동",계,2576,35,76,110,104,110,156,174,155,227,184,191,188,230,199,141,115,94,58,23,4,2
"종로구","삼청동",한국인,2277,29,56,79,86,103,147,162,129,177,141,180,174,217,176,130,112,94,56,23,4,2
"종로구","삼청동",외국인,299,6,20,31,18,7,9,12,26,50,43,11,14,13,23,11,3,-,2,-,-,-
"종로구","부암동",계,9377,116,277,376,469,554,679,660,596,686,726,890,777,732,605,385,357,268,149,56,15,4
"종로구","부암동",한국인,9112,116,277,376,467,521,605,604,556,660,718,882,769,728,601,384,356,268,149,56,15,4
"종로구","부암동",외국인,265,-,-,-,2,33,74,56,40,26,8,8,8,4,4,1,1,-,-,-,-,-
"종로구","평창동",계,17658,405,637,723,810,989,1125,1038,1076,1315,1236,1661,1534,1557,1221,720,649,487,332,96,37,10
"종로구","평창동",한국인,17476,403,634,720,805,985,1118,1021,1059,1289,1217,1637,1522,1539,1209,714,646,485,330,96,37,10
"종로구","평창동",외국인,182,2,3,3,5,4,7,17,17,26,19,24,12,18,12,6,3,2,2,-,-,-
"종로구","무악동",계,8015,214,348,489,454,438,391,377,479,618,681,849,576,617,474,328,262,262,109,38,7,4
"종로구","무악동",한국인,7984,212,348,487,454,436,390,373,473,616,678,844,574,615,474,328,262,262,109,38,7,4
