`inqire_ym`|`ctprvn_nm`|`signgu_nm`|`emd_nm`|`managt_cnt`|`ldadng_dt`
`201710`|`서울특별시`|`서울특별시 강남구`|`서울특별시 강남구청`|`16`|`2018-07-25 13:27:14`
`201710`|`서울특별시`|`서울특별시 강동구`|`서울특별시 강동구청`|`9`|`2018-07-25 13:27:14`
`201710`|`서울특별시`|`서울특별시 강북구`|`서울특별시 강북구청`|`8`|`2018-07-25 13:27:14`
`201710`|`서울특별시`|`서울특별시 강서구`|`서울특별시 강서구청`|`12`|`2018-07-25 13:27:14`
`201710`|`서울특별시`|`서울특별시 관악구`|`서울특별시 관악구청`|`18`|`2018-07-25 13:27:14`
`201710`|`서울특별시`|`서울특별시 광진구`|`서울특별시 광진구청`|`5`|`2018-07-25 13:27:14`
`201710`|`서울특별시`|`서울특별시 구로구`|`서울특별시 구로구청`|`18`|`2018-07-25 13:27:14`
`201710`|`서울특별시`|`서울특별시 금천구`|`서울특별시 금천구청`|`8`|`2018-07-25 13:27:14`
`201710`|`서울특별시`|`서울특별시 노원구`|`서울특별시 노원구청`|`14`|`2018-07-25 13:27:14`
`201710`|`서울특별시`|`서울특별시 도봉구`|`서울특별시 도봉구청`|`6`|`2018-07-25 13:27:14`
`201710`|`서울특별시`|`서울특별시 동대문구`|`서울특별시 동대문구청`|`9`|`2018-07-25 13:27:14`
`201710`|`서울특별시`|`서울특별시 동작구`|`서울특별시 동작구청`|`6`|`2018-07-25 13:27:14`
`201710`|`서울특별시`|`서울특별시 마포구`|`서울특별시 마포구청`|`16`|`2018-07-25 13:27:14`
`201710`|`서울특별시`|`서울특별시 서대문구`|`서울특별시 서대문구청`|`3`|`2018-07-25 13:27:14`
`201710`|`서울특별시`|`서울특별시 서초구`|`서울특별시 서초구청`|`13`|`2018-07-25 13:27:14`
`201710`|`서울특별시`|`서울특별시 성동구`|`서울특별시 성동구청`|`19`|`2018-07-25 13:27:14`
`201710`|`서울특별시`|`서울특별시 성북구`|`서울특별시 성북구청`|`7`|`2018-07-25 13:27:14`
`201710`|`서울특별시`|`서울특별시 송파구`|`서울특별시 송파구청`|`16`|`2018-07-25 13:27:14`
`201710`|`서울특별시`|`서울특별시 양천구`|`서울특별시 양천구청`|`9`|`2018-07-25 13:27:14`
`201710`|`서울특별시`|`서울특별시 영등포구`|`서울특별시 영등포구청`|`10`|`2018-07-25 13:27:14`
`201710`|`서울특별시`|`서울특별시 용산구`|`서울특별시 용산구청`|`16`|`2018-07-25 13:27:14`
`201710`|`서울특별시`|`서울특별시 은평구`|`서울특별시 은평구청`|`20`|`2018-07-25 13:27:14`
`201710`|`서울특별시`|`서울특별시 종로구`|`서울특별시 종로구청`|`11`|`2018-07-25 13:27:14`
`201710`|`서울특별시`|`서울특별시 중구`|`서울특별시 중구청`|`6`|`2018-07-25 13:27:14`
`201710`|`서울특별시`|`서울특별시 중랑구`|`서울특별시 중랑구청`|`7`|`2018-07-25 13:27:14`
`201710`|`서울특별시`|`재외국민 가족관계등록사무소`|`재외국민 가족관계등록사무소`|`283`|`2018-07-25 13:27:14`
