구 분	총계(D)	국제결혼가정의 국내출생 자녀																		
Classification	Total	International Marriage Children of National Birth																		
		소계(A)	일본	중국	중국(한국계)	대만	몽골	필리핀	베트남	태국	캄보디아	인도네시아	중앙아시아	미국	러시아	"러시아 및
중앙아시아
(한국계)"	중동	유럽	아프리카	기타
총계	12779	7925	498	2195	555	121	173	666	2353	109	271	32	160	173	89	45	14	105	53	313
종로구	163	103	3	30	1	1	1	14	27	2	4	1	3	1	-	-	-	4	2	9
중구	269	130	9	25	23	3	3	10	30	4	-	3	4	6	4	3	-	-	1	2
용산구	408	219	21	36	4	6	7	19	30	1	3	-	15	11	8	3	7	9	22	17
성동구	439	286	19	100	6	4	7	19	91	4	6	3	-	5	2	1	-	5	1	13
광진구	505	279	16	87	14	5	8	19	79	8	8	-	2	6	8	4	1	4	-	10
동대문구	465	309	18	70	23	2	5	32	111	3	13	2	10	5	2	-	-	2	1	10
중랑구	573	390	20	100	14	4	14	38	151	10	10	2	4	4	4	4	-	1	-	10
성북구	530	396	34	82	24	4	10	34	142	4	11	2	11	4	6	3	-	2	4	19
강북구	383	327	8	78	1	6	10	37	123	9	21	-	12	6	4	-	-	1	3	8
도봉구	400	350	14	73	17	1	13	39	147	5	16	2	1	5	3	4	-	-	-	10
노원구	416	330	30	93	14	-	8	27	91	1	11	-	11	16	1	2	-	7	2	16
은평구	590	514	30	113	13	10	15	51	186	4	23	4	20	7	2	1	1	4	6	24
서대문구	313	262	21	66	10	23	3	29	68	4	4	-	6	9	2	2	-	3	-	12
마포구	278	222	29	51	11	3	5	11	70	1	7	-	5	3	3	1	-	5	1	16
양천구	418	329	17	89	22	5	12	26	102	4	12	2	10	11	2	-	1	5	1	8
강서구	664	533	54	150	30	3	10	51	163	2	17	1	8	9	7	4	-	5	2	17
구로구	1440	565	15	230	100	6	10	42	86	10	23	-	7	5	2	6	1	7	-	15
금천구	948	368	11	146	33	2	5	22	110	3	19	1	6	3	2	-	-	1	-	4
영등포구	1133	308	3	127	39	2	1	9	62	4	6	1	1	9	-	1	1	1	-	41
동작구	484	303	12	90	27	4	2	28	87	5	11	3	2	11	2	3	-	6	1	9
관악구	618	379	18	104	51	-	6	31	107	3	22	-	8	5	6	1	-	8	1	8
서초구	168	140	17	34	7	5	-	8	23	4	3	-	2	7	10	-	-	9	-	11
강남구	174	144	16	34	15	6	2	11	24	3	4	1	2	11	4	-	-	4	-	7
송파구	505	373	27	102	34	12	6	28	111	5	4	4	4	10	3	2	-	10	2	9
강동구	495	366	36	85	22	4	10	31	132	6	13	-	6	4	2	-	2	2	3	8
