구 분	외국인가정 자녀																		
	소계(C)	일본	중국	중국(한국계)	대만	몽골	필리핀	베트남	태국	캄보디아	인도네시아	중앙아시아	미국	러시아	"러시아 및
중앙아시아
(한국계)"	중동	유럽	아프리카	기타
	계	계	계	계	계	계	계	계	계	계	계	계	계	계	계	계	계	계	계
총계	4046	96	2089	1007	10	307	42	99	-	5	8	78	46	24	40	51	9	56	79
종로구	46	-	26	1	-	1	-	6	-	-	-	1	4	1	-	1	-	-	5
중구	127	-	42	3	-	27	-	2	-	-	1	7	4	9	24	-	1	-	7
용산구	154	2	14	2	2	6	10	3	-	2	2	30	6	-	2	23	4	38	8
성동구	124	-	72	14	-	16	1	11	-	1	-	-	-	2	2	-	1	-	4
광진구	199	-	43	55	1	56	-	19	-	-	-	7	2	1	-	3	-	-	12
동대문구	127	1	61	8	-	10	2	10	-	-	1	6	1	5	1	15	-	2	4
중랑구	155	1	27	10	-	96	5	3	-	-	-	7	1	-	2	-	-	-	3
성북구	95	2	24	7	-	22	15	8	-	-	-	-	4	2	2	1	-	-	8
강북구	38	-	13	2	-	12	-	1	-	-	-	1	3	-	-	-	1	1	4
도봉구	27	-	13	4	-	6	4	-	-	-	-	-	-	-	-	-	-	-	-
노원구	34	-	11	-	-	12	-	1	-	-	-	3	-	-	1	-	-	-	6
은평구	45	-	31	4	1	-	2	1	-	-	-	2	2	-	1	-	-	1	-
서대문구	32	1	17	-	1	1	-	6	-	-	-	-	3	-	-	1	1	1	-
마포구	32	-	13	6	-	3	-	-	-	-	-	4	2	1	-	-	-	-	3
양천구	51	-	33	11	-	1	-	1	-	-	-	1	-	-	-	-	-	2	2
강서구	87	1	41	29	-	6	-	3	-	-	-	1	-	2	1	3	-	-	-
구로구	795	-	470	309	2	5	1	2	-	1	1	1	-	-	1	-	-	-	2
금천구	542	2	352	176	1	4	-	3	-	1	1	-	-	1	-	1	-	-	-
영등포구	781	83	531	161	-	-	-	1	-	-	2	-	2	-	-	-	-	1	-
동작구	145	-	37	88	1	1	-	4	-	-	-	1	3	-	1	-	-	8	1
관악구	198	1	78	99	1	4	-	7	-	-	-	2	1	-	-	2	-	2	1
서초구	14	-	8	-	-	-	-	-	-	-	-	2	3	-	-	-	-	-	1
강남구	17	2	7	1	-	-	-	1	-	-	-	2	2	-	-	-	1	-	1
송파구	91	-	69	9	-	2	2	1	-	-	-	-	2	-	-	1	-	-	5
강동구	90	-	56	8	-	16	-	5	-	-	-	-	1	-	2	-	-	-	2
