구 분,국제결혼가정의 중도입국 자녀,,,,,,,,,,,,,,,,,,
Classification,International Marriage Children Immigrated,,,,,,,,,,,,,,,,,,
,소계(B),일본,중국,중국(한국계),대만,몽골,필리핀,베트남,태국,캄보디아,인도네시아,중앙아시아,미국,러시아,"러시아 및
중앙아시아
(한국계)",중동,유럽,아프리카,기타
,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계
총계,808,92,298,76,14,14,67,81,10,7,3,11,41,11,2,1,35,1,44
종로구,14,4,3,-,1,-,-,2,1,-,-,-,-,2,-,-,-,-,1
중구,12,-,2,4,-,-,1,1,-,-,-,-,-,1,-,-,2,-,1
용산구,35,5,5,-,-,-,3,-,-,-,-,1,4,-,1,-,14,-,2
성동구,29,6,8,1,-,-,3,5,-,-,-,1,4,-,-,-,-,-,1
광진구,27,3,7,4,3,2,2,2,-,-,-,2,-,2,-,-,-,-,-
동대문구,29,2,9,4,1,1,6,3,-,-,-,-,-,-,-,-,-,-,3
중랑구,28,4,3,1,-,3,3,8,-,-,1,1,4,-,-,-,-,-,-
성북구,39,2,12,3,-,5,3,6,-,-,1,-,-,-,-,-,3,-,4
강북구,18,1,8,-,-,-,2,2,-,1,-,-,2,-,-,-,-,-,2
도봉구,23,-,9,-,-,-,3,6,-,-,-,-,2,-,-,-,2,-,1
노원구,52,4,24,1,1,-,8,5,-,-,-,2,2,1,-,-,-,-,4
은평구,31,3,11,-,-,-,4,4,-,2,-,-,-,1,-,-,2,1,3
서대문구,19,1,7,-,2,-,2,-,1,-,-,4,2,-,-,-,-,-,-
마포구,24,4,6,2,1,-,1,3,-,-,-,-,2,-,-,-,1,-,4
양천구,38,2,27,5,-,1,-,-,-,-,-,-,1,-,-,-,-,-,2
강서구,44,5,11,7,2,1,6,3,1,1,-,-,3,3,-,-,1,-,-
구로구,80,5,52,13,1,-,4,3,1,-,-,-,-,-,-,-,-,-,1
금천구,38,-,20,6,-,-,3,4,3,-,-,-,-,1,-,-,-,-,1
영등포구,44,15,18,4,-,-,-,3,-,-,1,-,2,-,-,-,-,-,1
동작구,36,3,9,9,-,-,4,4,-,-,-,-,2,-,-,-,4,-,1
관악구,41,4,15,10,-,-,2,4,1,1,-,-,-,-,-,1,2,-,1
서초구,14,3,5,-,-,-,-,-,-,-,-,-,2,-,-,-,3,-,1
강남구,13,4,-,-,-,-,-,1,-,-,-,-,5,-,-,-,1,-,2
송파구,41,5,16,2,2,1,1,2,2,1,-,-,4,-,-,-,-,-,5
강동구,39,7,11,-,-,-,6,10,-,1,-,-,-,-,1,-,-,-,3
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
