행정구,2022_초등학교_계,2022_초등학교_국제결혼가정,2022_초등학교_외국인가정,2022_중학교_계,2022_중학교_국제결혼가정,2022_중학교_외국인가정,2022_고등학교_계,2022_고등학교_국제결혼가정,2022_고등학교_외국인가정,2022_초등학생_국내출생자녀_소계,2022_초등학생_국내출생자녀_일본,2022_초등학생_국내출생자녀_중국,2022_초등학생_국내출생자녀_중국_한국계,2022_초등학생_국내출생자녀_대만,2022_초등학생_국내출생자녀_몽골,2022_초등학생_국내출생자녀_필리핀,2022_초등학생_국내출생자녀_베트남,2022_초등학생_국내출생자녀_태국,2022_초등학생_국내출생자녀_캄보디아,2022_초등학생_국내출생자녀_인도네시아,2022_초등학생_국내출생자녀_중앙아시아,2022_초등학생_국내출생자녀_미국,2022_초등학생_국내출생자녀_러시아,2022_초등학생_국내출생자녀_러시아 및 중앙아시아_한국계,2022_초등학생_국내출생자녀_중동,2022_초등학생_국내출생자녀_유럽,2022_초등학생_국내출생자녀_아프리카,2022_초등학생_국내출생자녀_기타,2022_초등학생_외국인가정자녀_소계,2022_초등학생_외국인가정자녀_일본,2022_초등학생_외국인가정자녀_중국,2022_초등학생_외국인가정자녀_중국_한국계,2022_초등학생_외국인가정자녀_대만,2022_초등학생_외국인가정자녀_몽골,2022_초등학생_외국인가정자녀_필리핀,2022_초등학생_외국인가정자녀_베트남,2022_초등학생_외국인가정자녀_태국,2022_초등학생_외국인가정자녀_캄보디아,2022_초등학생_외국인가정자녀_인도네시아,2022_초등학생_외국인가정자녀_중앙아시아,2022_초등학생_외국인가정자녀_미국,2022_초등학생_외국인가정자녀_러시아,2022_초등학생_외국인가정자녀_러시아 및 중앙아시아_한국계,2022_초등학생_외국인가정자녀_중동,2022_초등학생_외국인가정자녀_유럽,2022_초등학생_외국인가정자녀_아프리카,2022_초등학생_외국인가정자녀_기타,2022_초등학생_중도입국자녀_소계,2022_초등학생_중도입국자녀_일본,2022_초등학생_중도입국자녀_중국,2022_초등학생_중도입국자녀_중국_한국계,2022_초등학생_중도입국자녀_대만,2022_초등학생_중도입국자녀_몽골,2022_초등학생_중도입국자녀_필리핀,2022_초등학생_중도입국자녀_베트남,2022_초등학생_중도입국자녀_태국,2022_초등학생_중도입국자녀_캄보디아,2022_초등학생_중도입국자녀_인도네시아,2022_초등학생_중도입국자녀_중앙아시아,2022_초등학생_중도입국자녀_미국,2022_초등학생_중도입국자녀_러시아,2022_초등학생_중도입국자녀_러시아 및 중앙아시아_한국계,2022_초등학생_중도입국자녀_중동,2022_초등학생_중도입국자녀_유럽,2022_초등학생_중도입국자녀_아프리카,2022_초등학생_중도입국자녀_기타,2022_다문화가구_소계,2022_가구원_소계,2022_가구원_내국인_출생,2022_가구원_내국인_귀화,2022_가구원_외국인_결혼이민자,2022_가구원_외국인_기타,2021_합계_소계,2021_한국국적을 가지지 않은 자_소계,2021_한국국적을 가지지 않은 자_외국인근로자,2021_한국국적을 가지지 않은 자_결혼이민자,2021_한국국적을 가지지 않은 자_유학생,2021_한국국적을 가지지 않은 자_외국국적동포,2021_한국국적을 가지지 않은 자_기타외국인,2021_한국국적을 취득한 자_소계,2021_외국인주민 자녀_출생_소계,2022_인구,2022_면적,2022_인구밀도,소비경기지수,2023_초등학교수,2022 년_종류별 주택수,2022 년_단독주택,2022 년_일반단독주택,2022 년_다가구주택,2022 년_영업겸용주택,2022 년_아파트,2022 년_연립주택,2022 년_다세대주택,2022 년_비거주용건물내주택,2018_다문화시민인식_종합,2018_인구감소문제 해결 위해 외국인 이민정책 필요,2018_결혼 이민자에 대한 사회적 편견해소 정책 필요,2018_이민자 많아지면 일자리 빼앗길 것 같다,서울전체세대,서울전체인구,한국인,등록외국인,세대당인구,65세이상고령자,총생활인구수,중국외외국인체류인구수,사회적 신뢰_국내 거주 외국인,사회적 약자 수용 여부_외국인 노동자,사회적 약자 수용 여부_난민,서울시민 자부심,사회적 차별요인 순위_소득 수준,사회적 차별요인 순위_교육수준,사회적 차별요인 순위_국적,사회적 차별요인 순위_출신 지역,사회적 차별요인 순위_종교,우울감_경험률,스트레스_체감도,사회적 약자에 대한 태도,지역사회 소속감_서로도움,자원봉사활동 경험 여부,1년간 기부 경험 여부,어린이집개수,도서관개수,다문화가족복지센터개수,다문화언어강사인원,어린이복지센터개수,2020_인구,2020_1인당 지역내총생산_천원,2020_수준지수,년도,2022_출생,2022_중점학교수,2022_특별학급수
종로구,163,117,46,72,67,5,84,65,19,103,3,30,1,1,1,14,27,2,4,1,3,1,0,0,0,4,2,9,46,0,26,1,0,1,0,6,0,0,0,1,4,1,0,1,0,0,5,14,4,3,0,1,0,0,2,1,0,0,0,0,2,0,0,0,0,1,1178,3067,1790,535,612,130,12009,10944,885,613,4240,1683,3523,516,549,152211,23.91,6365,124.7,12,46810,11823,6259,3959,1605,15923,5532,12651,881,5.42,5.41,5.55,5.29,72679,152212,141060,11152,1.94,28265,1055.248145,324.432839,3.07,88.7,58.2,75.5,57.9,49.1,9.3,9.5,3.7,5.1,4.81,5.79,4.07,9.4,17.0,71,9,1,6,11,151581,223603,482.96,2022,12,,
중구,269,142,127,72,50,22,99,58,41,130,9,25,23,3,3,10,30,4,0,3,4,6,4,3,0,0,1,2,127,0,42,3,0,27,0,2,0,0,1,7,4,9,24,0,1,0,7,12,0,2,4,0,0,1,1,0,0,0,0,0,1,0,0,2,0,1,1327,3372,1850,672,675,175,12639,11368,1244,664,2734,2439,4287,674,597,130785,9.96,13131,124.7,12,42401,5751,2166,2346,1239,26366,1879,7572,833,5.35,4.84,5.48,5.73,63862,131390,120963,10427,1.89,25353,1279.01502979424,438.785559650206,2.86,93.1,71.9,67.7,55.2,57.1,15.5,3.7,3.3,9.7,4.77,5.13,3.71,5.1,18.7,64,8,1,5,3,126467,443361,957.61,2022,12,2.0,2.0
용산구,408,254,154,139,106,33,79,57,22,219,21,36,4,6,7,19,30,1,3,0,15,11,8,3,7,9,22,17,154,2,14,2,2,6,10,3,0,2,2,30,6,0,2,23,4,38,8,35,5,5,0,0,0,3,0,0,0,0,1,4,0,1,0,14,0,2,2259,6020,3736,741,1364,179,18279,16400,1799,1347,999,2631,9624,722,1157,233284,21.87,10668,124.7,15,77116,13450,4698,7054,1698,39805,3887,19309,665,5.77,5.5,6.04,5.76,109735,232482,217756,14726,1.98,39478,1010.09996438079,725.217254176312,3.76,83.7,54.7,69.1,40.2,44.3,17.6,3.1,2.5,6.4,4.58,5.69,3.19,6.8,37.0,106,4,1,3,5,222307,57688,124.6,2022,12,3.0,3.0
성동구,439,315,124,135,107,28,47,41,6,286,19,100,6,4,7,19,91,4,6,3,0,5,2,1,0,5,1,13,124,0,72,14,0,16,1,11,0,1,0,0,0,2,2,0,1,0,4,29,6,8,1,0,0,3,5,0,0,0,1,4,0,0,0,0,0,1,2156,5730,3424,1063,1066,177,12447,10196,1206,1085,2754,2239,2912,1040,1211,288234,16.82,17136,111.3,21,90740,9410,1733,5966,1711,68125,2058,10177,970,5.68,5.22,6.07,5.74,133513,287240,280240,7000,2.1,48238,904.515371405229,304.112226633987,3.08,82.4,43.3,70.4,46.4,49.4,9.3,1.4,4.7,8.5,4.8,5.7,3.41,5.2,25.2,153,7,1,3,10,319475,38886,83.99,2022,12,2.0,2.0
광진구,505,306,199,140,78,62,65,49,16,279,16,87,14,5,8,19,79,8,8,0,2,6,8,4,1,4,0,10,199,0,43,55,1,56,0,19,0,0,0,7,2,1,0,3,0,0,12,27,3,7,4,3,2,2,2,0,0,0,2,0,2,0,0,0,0,0,2703,6623,3578,1723,1106,216,21653,18704,2567,1098,4354,4860,5825,1739,1210,351252,17.06,20586,111.3,21,93555,14901,619,11300,2982,33862,4158,39240,1394,5.9,5.46,6.28,5.96,169787,350925,336801,14124,1.98,54854,1489.49921983539,399.608348518519,2.32,87.9,54.6,67.1,45.0,51.6,8.0,4.1,3.5,7.9,5.41,5.3,3.26,4.2,11.3,152,6,1,5,13,357176,18062,39.01,2022,12,0.0,2.0
동대문구,465,338,127,182,142,40,83,56,27,309,18,70,23,2,5,32,111,3,13,2,10,5,2,0,0,2,1,10,127,1,61,8,0,10,2,10,0,0,1,6,1,5,1,15,0,2,4,29,2,9,4,1,1,6,3,0,0,0,0,0,0,0,0,0,0,3,2495,6448,3601,1455,1075,317,21766,19109,1235,1080,8997,2365,5432,1453,1204,353601,14.22,24873,111.3,21,106441,16110,3994,9353,2763,68445,3298,17090,1498,5.19,4.78,5.68,5.11,171140,354884,337574,17310,1.97,65154,1841.27052677469,481.756645789242,2.76,83.4,46.7,69.0,55.4,57.7,5.9,4.9,1.8,3.4,4.98,5.31,3.73,9.7,22.1,184,8,1,4,15,355917,20791,44.91,2022,12,1.0,2.0
중랑구,573,418,155,184,130,54,45,39,6,390,20,100,14,4,14,38,151,10,10,2,4,4,4,4,0,1,0,10,155,1,27,10,0,96,5,3,0,0,0,7,1,0,2,0,0,0,3,28,4,3,1,0,3,3,8,0,0,1,1,4,0,0,0,0,0,0,2620,7096,4291,1445,1144,216,9698,6864,661,1155,831,1494,2723,1395,1439,390140,18.5,21092,111.3,24,118357,17751,1668,12765,3318,59121,4466,35535,1484,5.67,5.08,5.95,5.99,187898,389928,385003,4925,2.05,76116,351.118587181713,133.938467496142,3.13,74.3,28.7,74.0,48.4,58.1,9.9,2.9,1.1,4.6,4.51,5.53,3.88,5.9,27.9,194,5,0,5,22,384950,12340,26.65,2022,12,0.0,1.0
성북구,530,435,95,182,155,27,68,55,13,396,34,82,24,4,10,34,142,4,11,2,11,4,6,3,0,2,4,19,95,2,24,7,0,22,15,8,0,0,0,0,4,2,2,1,0,0,8,39,2,12,3,0,5,3,6,0,0,1,0,0,0,0,0,3,0,4,2376,6682,4249,1133,1094,206,15657,13081,714,1072,5676,1358,4261,1109,1467,441984,24.58,17983,111.3,29,142602,20892,8819,9157,2916,83701,6146,30510,1353,5.25,5.24,5.73,4.79,197859,441855,430100,11755,2.17,78427,784.98606720679,284.205100277778,2.17,85.1,48.3,71.2,63.7,58.5,6.7,2.1,0.6,8.8,5.04,5.78,3.33,7.7,27.2,210,13,1,5,24,437443,14158,30.58,2022,12,,
강북구,383,345,38,134,124,10,73,72,1,327,8,78,1,6,10,37,123,9,21,0,12,6,4,0,0,1,3,8,38,0,13,2,0,12,0,1,0,0,0,1,3,0,0,0,1,1,4,18,1,8,0,0,0,2,2,0,1,0,0,2,0,0,0,0,0,2,2062,5675,3556,1113,853,153,7225,4918,394,853,854,1114,1703,1079,1228,297702,23.6,12614,111.3,14,99477,17134,4640,9995,2499,35997,4867,40483,996,5.35,5.04,5.48,5.51,144557,296934,292762,4172,2.03,67056,460.46014706790095,182.669691168091,2.04,87.6,66.0,69.8,52.7,62.8,11.4,1.4,0.4,5.5,4.26,6.08,3.73,8.5,26.9,124,7,1,2,22,301489,11135,24.05,2022,12,,
도봉구,400,373,27,121,107,14,41,33,8,350,14,73,17,1,13,39,147,5,16,2,1,5,3,4,0,0,0,10,27,0,13,4,0,6,4,0,0,0,0,0,0,0,0,0,0,0,0,23,0,9,0,0,0,3,6,0,0,0,0,2,0,0,0,2,0,1,1646,4695,3038,850,662,145,4882,3032,303,692,417,636,984,808,1042,313989,20.65,15205,111.3,23,109190,8381,1308,5441,1632,65664,4229,30210,706,5.42,4.66,5.75,5.86,138376,312858,310509,2349,2.24,68114,198.954835890653,95.6372442350088,3.53,93.6,72.3,70.1,69.5,61.9,6.4,1.7,1.1,7.0,4.3,6.15,4.47,6.3,39.6,172,9,1,0,17,321875,10872,23.48,2022,12,,
