시군구명,시설명,시설주소,Latitude,Longitude
양천구,양천구다문화가족지원센터,서울특별시 양천구 남부순환로88길 5-7 (신정동),37.5113446,126.8414638
동대문구,동대문구다문화가족지원센터,서울특별시 동대문구 청계천로 521다사랑행복센터 7층 (용두동),37.5717664,127.0340552
동작구,동작구다문화가족지원센터,서울특별시 동작구 동작대로 29길63-26 (사당동),37.4883851,126.9775787
성북구,성북구다문화가족지원센터,서울특별시 성북구 안암로 145라이시움 102호 (안암동5가),37.5887496,127.0323735
영등포구,영등포구 다문화가족지원센터,서울특별시 영등포구 영등포로84길 24-54층 (신길동),37.5218869,126.8906347
용산구,용산구다문화가족지원센터,"서울특별시 용산구 이태원로 224-19 3층 (한남동,복합문화센터)",37.5349247,127.0001945
송파구,송파구다문화가족지원센터,서울특별시 송파구 마천동 127-1(마천동),37.4969377,127.1485915
광진구,광진구다문화가족지원센터,서울특별시 광진구 아차산로24길 175층 (자양동),37.5403415,127.0649353
강북구,강북구다문화가족지원센터,서울특별시 강북구 한천로129길 6 (번동),37.637714,127.0296909
노원구,노원구다문화가족지원센터,서울특별시 노원구 동일로173가길 94가온빌딩 3층,37.6224312,127.0726214
은평구,은평구다문화가족지원센터,서울특별시 은평구 은평로21가길 15-17. (녹번동),37.6041877,126.9296084
마포구,마포구다문화가족지원센터,서울특별시 마포구 양화로 19-0지하2층,37.549113,126.911227
강서구,강서구다문화가족지원센터,서울특별시 강서구 우현로 34,37.5482678,126.8418504
구로구,구로구다문화가족지원센터,"서울특별시 구로구 우마2길 352,3층 (가리봉동)",37.4824784,126.889814
금천구,금천구다문화가족지원센터,서울특별시 금천구 금하로 11길 40번지,37.4554576,126.9042434
관악구,관악구다문화가족지원센터,"서울특별시 관악구 신림로3길 353,4층 (신림동)",37.4673684,126.9439578
강동구,강동구다문화가족지원센터,서울특별시 강동구 양재대로138길 41-02층,37.5497603,127.1462441
종로구,종로구다문화가족지원센터,서울특별시 종로구 종로53길 292층 (창신동),37.5733447,127.0134866
서대문구,서대문구다문화가족지원센터,서울특별시 서대문구 증가로 244(북가좌동),37.5829851,126.9128737
강남구,강남구다문화가족지원센터,서울특별시 강남구 개포로 617-8,37.4939953,127.0777063
성동구,성동구다문화가족지원센터,서울특별시 성동구 무학로6길 9(홍익동),37.5655348,127.0311252
도봉구,도봉구다문화가족지원센터,서울특별시 도봉구 도봉로 552도봉구민회관 2층,37.6541023,127.0386268
중구,서울중구다문화가족지원센터,서울특별시 중구 퇴계로 46010층 (신당동),37.5654292,127.0134917
