구명,도서관명,주소,Latitude,Longitude
성동구,성동구립용답도서관,서울특별시 성동구 용답중앙3길 10,37.5667179,127.0513064
성동구,성동구립성수도서관,서울특별시 성동구 뚝섬로1길 43,37.5454156,127.0469729
성동구,성동구립도서관,서울특별시 성동구 고산자로10길 9,37.5592177,127.0349335
성동구,성동구립무지개도서관,서울특별시 성동구 고산자로 270,37.5632153,127.0367465
성동구,성동구립금호도서관,서울특별시 성동구 난계로 20,37.5541236,127.0249051
성동구,성동구립숲속도서관,서울특별시 성동구 매봉길 49-29,37.5458644,127.0110143
성동구,성동구립청계도서관,서울특별시 성동구 마장로 141,37.567877,127.0254834
성북구,월곡꿈그림도서관,서울특별시 성북구 화랑로13길 17 월곡꿈그림도서관,37.604083,127.0418067
서초구,서초구립양재도서관,서울특별시 서초구 양재천로 33,37.4772927,127.0398983
용산구,용산꿈나무도서관,"서울특별시 용산구 백범로329(원효로1가, 꿈나무타운)",37.5386609,126.9655062
용산구,청파도서관,서울특별시 용산구 청파로93길 27(서계동),37.5530199,126.9664712
성북구,장위행복누림도서관,서울특별시 성북구 장위로21다길53,37.6159086,127.0459233
성북구,해오름도서관,서울특별시 성북구 성북로4길 52,37.5948075,127.0103188
성북구,성북길빛도서관,서울특별시 성북구 숭인로8길 52,37.6090477,127.0271592
성북구,글빛도서관,서울특별시 성북구 길음로7길 20,37.6037505,127.0221534
성북구,아리랑도서관,서울특별시 성북구 아리랑로 82,37.5999181,127.0139024
성북구,아리랑어린이도서관,서울특별시 성북구 아리랑로 75,37.5991664,127.0126899
중구,가온도서관,서울특별시 중구 동호로14길 18,37.5563646,127.0108385
중구,남산타운어린이도서관,서울특별시 중구 다산로 32,37.5490132,127.0092806
중구,다산성곽도서관,서울특별시 중구 동호로17길 173,37.5516509,127.004411
중구,손기정문화도서관,서울특별시 중구 손기정로 101-3,37.5555781,126.9647417
중구,손기정어린이도서관,서울특별시 중구 손기정로 101,37.5555781,126.9647417
중구,신당누리도서관,서울특별시 중구 다산로 33길 3,37.5620232,127.0144255
중구,어울림도서관,서울특별시 중구 다산로38길 66-35,37.5617091,127.0189605
강북구,강북청소년문화정보도서관,서울특별시 강북구 삼양로54길 68,37.6230267,127.0216593
강북구,수유문화정보도서관,서울특별시 강북구 삼양로 299,37.6300774,127.0176093
강북구,송중문화정보도서관,서울특별시 강북구 도봉로20나길 6,37.61832,127.0299758
강북구,솔샘문화정보도서관,서울특별시 강북구 솔샘로 177,37.620458,127.0124383
강북구,미아문화정보도서관,서울특별시 강북구 솔매로49길 14,37.6270621,127.0269669
강북구,삼각산어린이도서관,서울특별시 강북구 삼양로19길 34,37.6151877,127.0207587
강북구,강북문화정보도서관,서울특별시 강북구 오현로 145,37.6252184,127.0362995
서초구,서이도서관,서울특별시 서초구 서초대로70길 51,37.4920712,127.0249213
서초구,서초청소년도서관,서울특별시 서초구 효령로77길 37,37.4905359,127.0283284
서초구,서초그림책도서관,서울특별시 서초구 명달로 150,37.490502,127.0049526
마포구,마포구립서강도서관,서울특별시 마포구 독막로 165,37.5477111,126.9320121
마포구,소금나루도서관,서울특별시 숭문길 72,37.549596,126.9461373
강남구,강남역삼푸른솔도서관,서울특별시 강남구 테헤란로8길 36,37.4964913,127.031845
강남구,열린도서관,서울특별시 강남구 일원로 115 삼성생명빌딩 B동,37.4840007,127.0844516
강남구,논현도서관,서울특별시 강남구 학동로43길 17(논현동) 논현2동주민센터,37.5172918,127.0372351
강남구,즐거운도서관,서울특별시 강남구 도곡로77길 23,37.4997428,127.0578493
강남구,정다운도서관,서울특별시 강남구 학동로67길 11,37.5191111,127.0464381
강남구,못골한옥어린이도서관,서울특별시 강남구 자곡로7길 3,37.4729948,127.0978316
강남구,일원라온영어도서관,서울특별시 강남구 영동대로 22 B1(일원동 743),37.4909336,127.0751203
강남구,도곡정보문화도서관,서울특별시 강남구 도곡로18길 57,37.4883342,127.0389595
강남구,대치도서관,서울특별시 강남구 삼성로 212 은마아파트 복지상가,37.49743161,127.0641762
강남구,청담도서관,서울특별시 강남구 압구정로79길 26 청담주민센터,37.5250412,127.0492971
구로구,오류도서관,서울특별시 구로구 경인로19길 29-4,37.4972166,126.8423161
서초구,잠원도서관,서울특별시 서초구 나루터로 38,37.5149849,127.0139718
서초구,서초구립방배숲환경도서관,서울특별시 서초구 서초대로 160-7 방배동,37.4910405,127.004581
서초구,방배도서관,서울특별시 서초구 방배로 40,37.4784318,126.9999868
용산구,서울특별시교육청용산도서관,서울특별시 용산구 두텁바위로 160,37.5520223,126.9800674
영등포구,서울특별시교육청영등포평생학습관,서울특별시 영등포구 버드나루로15길 10,37.5265582,126.9073056
양천구,서울특별시교육청양천도서관,서울특별시 양천구 목동서로 113,37.5335044,126.8760979
영등포구,여의샛강마을도서관,서울특별시 영등포구 여의대로 24 전국경제인연합회 후생복지동,37.5221896,126.9202562
도봉구,김근태기념도서관,서울특별시 도봉구 도봉산길 14,37.687729,127.0439078
도봉구,도봉기적의도서관,서울특별시 도봉구 마들로 797,37.6807988,127.0501612
도봉구,도봉문화정보도서관,서울특별시 도봉구 덕릉로 315,37.6446168,127.0439784
도봉구,도봉아이나라도서관,서울특별시 도봉구 노해로 69길 151,37.6590524,127.0495093
도봉구,둘리도서관,서울특별시 도봉구 시루봉로1길 6,37.6522793,127.0276141
도봉구,쌍문채움도서관,서울특별시 도봉구 우이천로 340,37.6470377,127.0262263
도봉구,원당마을한옥도서관,서울특별시 도봉구 해등로32가길 17 (방학동),37.6609785,127.0201769
도봉구,학마을도서관,서울특별시 도봉구 시루봉로 128,37.6621708,127.0278612
영등포구,선유도서관,서울특별시 영등포구 선유로43가길 10-8,37.5333201,126.8929355
송파구,가락몰도서관,서울특별시 송파구 양재대로 932 서울시농수산식품공사 가락몰 업무동,37.4950496,127.1157234
송파구,거마도서관,서울특별시 송파구 거마로2길19,37.4935529,127.1468374
송파구,돌마리도서관,서울특별시 송파구 백제고분로 37길 16,37.5035941,127.1036658
송파구,소나무언덕2호도서관,서울특별시 송파구 석촌호수로 155 잠실3동 자치회관 2관,37.5072386,127.0942376
송파구,소나무언덕3호도서관,서울특별시 송파구 성내천로 319 4층,37.4923374,127.1566455
송파구,소나무언덕잠실본동도서관,"서울특별시 송파구 탄천동로 205 (잠실빗물펌프장 관사동 1,2층)",37.5031012,127.0788735
송파구,송파글마루도서관,서울특별시 송파구 충민로 120,37.4810195,127.1307484
송파구,송파어린이도서관,서울특별시 송파구 올림픽로 105 (잠실동 19-6),37.5121101,127.0824183
송파구,송파어린이영어도서관,서울특별시 송파구 오금로 1(신천동) 신천빗물펌프장,37.5224869,127.1017087
송파구,송파위례도서관,서울특별시 송파구 장지동 위례광장로 210 위례동복합청사,37.4812073,127.1440562
서초구,서초구립반포도서관,서울특별시 서초구 고무래로 34,37.5025138,127.0125122
은평구,내를건너서숲으로도서관,서울특별시 은평구 증산로17길 50,37.5916946,126.9080468
노원구,월계어린이도서관,서울특별시 월계로 42길 9 월계문화복지센터,37.624237,127.0507579
노원구,하계어린이도서관,서울특별시 노원구 공릉로62길 18(하계어울림센터),37.636016,127.0723066
노원구,노원어린이도서관,서울특별시 노원구 한글비석로 346,37.6579346,127.0761714
노원구,노원중앙도서관,서울특별시 노원구 노원로34길 43,37.6609192,127.0641674
노원구,불암도서관,서울특별시 노원구 중계로 106,37.645484,127.0825051
노원구,상계도서관,서울특별시 노원구 동일로243길 57,37.678526,127.0519862
노원구,월계도서관,서울특별시 노원구 월계로 319,37.6286393,127.0561006
강동구,명성교회도서관,서울특별시 강동구 상암로51길 8,37.5469091,127.1462725
마포구,마포중앙도서관,서울특별시 마포구 성산로 128(성산동),37.5637867,126.9084724
마포구,마포푸르메어린이도서관,서울특별시 마포구 월드컵북로 494 푸르메재단 넥슨어린이재활병원,37.5846925,126.8805399
영등포구,문래도서관,서울특별시 영등포구 문래로20길 49,37.516569,126.8913666
동대문구,휘경어린이도서관,서울특별시 동대문구 망우로18가길 38,37.5886577,127.060623
동대문구,동대문구답십리도서관,서울특별시 동대문구 서울시립대로4길 75,37.5731885,127.0503728
