,자치구명,시설명,기본주소,위도,경도
0,양천구,꿈나무들의둥지지역아동센터,서울특별시 양천구 목동중앙북로8길 104,37.544298850000004,126.86635670700313
1,강북구,송천동지역아동센터,서울특별시 강북구 삼양로20길 53,37.6141836,127.0253355
2,강동구,들꽃청소년지역아동센터,서울특별시 강동구 천중로 39,37.5408198,127.1441083
3,강동구,꿈꾸는땅지역아동센터,서울특별시 강동구 아리수로93나길 90,37.5722495,127.1742641
4,강동구,천호지역아동센터,서울특별시 강동구 구천면로 260,37.5508628,127.1394147
5,동대문구,힘찬지역아동센터,서울특별시 동대문구 장안벚꽃로5길 19,37.58144695,127.07362509756757
6,영등포구,푸른공부방지역아동센터,서울특별시 영등포구 양산로 138-1,37.5258921,126.8897241
7,금천구,한별지역아동센터,서울특별시 금천구 독산로72길 86-11,37.4673555,126.9029789
8,종로구,친구네지역아동센터,서울특별시 종로구 창신길 59,37.5761988,127.0102295
9,금천구,함사람지역아동센터,서울특별시 금천구 금하로11길 17,37.4553336,126.903803
10,강북구,돌산공부방지역아동센터,서울특별시 강북구 솔샘로 272,37.61884125,127.02268551877343
11,동작구,상도푸른지역아동센터,서울특별시 동작구 양녕로28길 35,37.4981252,126.9460127
12,서초구,하나복지지역아동센터,서울특별시 서초구 방배천로18길 20,37.4819626,126.9852857
13,강북구,으뜸지역아동센터,서울특별시 강북구 삼양로 487,37.632879,127.0172684
14,강북구,늘품지역아동센터,서울특별시 강북구 인수봉로77길 7,37.6444531,127.0097798
15,서초구,서초지역아동센터,서울특별시 서초구 방배천로8길 35-3,37.4805036,126.9835517
16,동작구,위더스틴즈지역아동센터,서울특별시 동작구 장승배기로10가길 124,37.5026107,126.9409437
17,동작구,위더스지역아동센터,서울특별시 동작구 장승배기로10가길 1,37.5017655,126.9412117
18,송파구,해밀지역아동센터,서울특별시 송파구 문정로 259,37.50082,127.14214
19,강서구,화곡지역아동센터,서울특별시 강서구 등촌로5길 79,37.5330028,126.8605559
20,강서구,경향지역아동센터,서울특별시 강서구 화곡로63길 19,37.55722245,126.85172438579681
21,성동구,조이스터디,서울특별시 성동구 청계천로10다길 34-14,37.569748,127.0351402
22,양천구,아름드리지역아동센터,서울특별시 양천구 신목로2길 11,37.5232586,126.8771862
23,강서구,큰미래지역아동센터,서울특별시 강서구 공항대로3길 36,37.5624805,126.8102574
24,강서구,위캔지역아동센터,서울특별시 강서구 초록마을로 52-1,37.5439698,126.8470857
25,강서구,꿈나무학교지역아동센터,서울특별시 강서구 가로공원로 214-1,37.5370449,126.8357507
26,관악구,꿈나무공부방 지역아동센터,서울특별시 관악구 난향12길 26,37.4634606,126.9159938
27,강동구,구립고덕2동청소년지역아동센터,서울특별시 강동구 상일로17길 17,37.5589021,127.1699179
28,은평구,보물섬지역아동센터,서울특별시 은평구 갈현로15길 46,37.609695650000006,126.90673720718027
29,중랑구,서울지역아동센터,서울특별시 중랑구 겸재로35길 38,37.5894049,127.0857958
30,금천구,나누리지역아동센터,서울특별시 금천구 금하로23길 40,37.4521653,126.9087052
31,금천구,금천미래지역아동센터,서울특별시 금천구 시흥대로151길 12,37.475801,126.8966764
32,관악구,참좋은 지역아동센터,서울특별시 관악구 난우길 41,37.4760161,126.917619
33,관악구,민영지역아동센터,서울특별시 관악구 난우10길 7,37.4769876,126.920274
34,관악구,양지 지역아동센터,서울특별시 관악구 남부순환로 1682,37.482913,126.9422134
35,양천구,물댄동산목동지역아동센터,서울특별시 양천구 목동남로2길 21,37.5072536,126.8644412
36,성북구,마고네지역아동센터,서울특별시 성북구 성북로8길 65,37.5915303,127.0054742
37,관악구,관악청소년 지역아동센터,서울특별시 관악구 미성길 60,37.4746953,126.9147586
38,관악구,물댄동산난곡 지역아동센터,서울특별시 관악구 난곡로 263,37.4824617,126.9143614
39,강동구,암사지역아동센터,서울특별시 강동구 고덕로27길 28,37.5558389,127.1380381
40,강서구,발음지역아동센터,서울특별시 강서구 강서로47다길 41,37.5509134,126.83420010544329
41,강북구,마을속작은학교,서울특별시 강북구 삼양로118길 33,37.6434437,127.0168077
42,금천구,금나래지역아동센터,서울특별시 금천구 범안로17길 23,37.4674022,126.8937902
43,금천구,독산1동지역아동센터,서울특별시 금천구 벚꽃로 73,37.484532,126.8815705
44,중랑구,참사랑지역아동센터,서울특별시 중랑구 면목로48길 56,37.5820467,127.0909963
45,서대문구,주원지역아동센터,서울특별시 서대문구 홍제원6길 4,37.586151,126.9483517
46,중랑구,참이랑지역아동센터,서울특별시 중랑구 상봉중앙로1길 78,37.5986745,127.0877657
47,은평구,행복한지역아동센터,서울특별시 은평구 연서로 39,37.6155302,126.9182479
48,은평구,공립벧엘지역아동센터,서울특별시 은평구 연서로6길 7,37.6045266,126.9165072
49,은평구,꿈이있는푸른학교지역아동센터,서울특별시 은평구 응암로12길 27,37.5884044,126.9173025
50,은평구,이레지역아동센터,서울특별시 은평구 연서로 35,37.6155302,126.9182479
51,은평구,은광지역아동센터,서울특별시 은평구 녹번로 55,37.6062785,126.9299219
52,은평구,동방지역아동센터,서울특별시 은평구 갈현로 29,37.6231892,126.9166006
53,용산구,생명나무 지역아동센터,서울특별시 용산구 백범로43길 2,0.0,0.0
54,서대문구,신일지역아동센터,서울특별시 서대문구 독립문로8길 107,37.5651593,126.9595177
55,영등포구,쪼물왕국지역아동센터,서울특별시 영등포구 선유로53길 34-14,37.5391099,126.895558
56,관악구,성산교회부설 한우리 지역아동센터,서울특별시 관악구 낙성대역14가길 7,37.47330525,126.96436559781569
57,광진구,행복한지역아동센터,서울특별시 광진구 광나루로37길 43,37.5457324,127.088457
58,관악구,은천 지역아동센터,서울특별시 관악구 관천로 119,37.4824963,126.9275076
